player_id,primary_team_id,primary_team_abbr,all_teams_season,num_teams,games_with_primary_team,season
1631093,1610612765,DET,DET,1,30,2024-25
1641713,1610612763,MEM,MEM,1,29,2024-25
1630543,1610612754,IND,IND,1,5,2024-25
1631245,1610612754,IND,IND,1,28,2024-25
202704,1610612755,PHI,PHI,1,31,2024-25
1641748,1610612749,MIL,MIL,1,67,2024-25
1628991,1610612763,MEM,MEM,1,74,2024-25
1631218,1610612744,GSW,GSW,1,62,2024-25
1642355,1610612747,LAL,LAL,1,27,2024-25
2544,1610612747,LAL,LAL,1,70,2024-25
1631170,1610612748,MIA,MIA,1,66,2024-25
1629610,1610612766,CHA,CHA,1,47,2024-25
1641998,1610612747,LAL,"LAL, NOP",2,22,2024-25
1642450,1610612765,DET,DET,1,7,2024-25
1629660,1610612739,CLE,CLE,1,70,2024-25
1630198,1610612760,OKC,OKC,1,74,2024-25
1642358,1610612764,WAS,"MIL, WAS",2,22,2024-25
1629661,1610612751,BKN,BKN,1,57,2024-25
1630552,1610612737,ATL,ATL,1,36,2024-25
201949,1610612754,IND,IND,1,12,2024-25
1629640,1610612759,SAS,SAS,1,77,2024-25
1630553,1610612751,BKN,BKN,1,79,2024-25
1642352,1610612748,MIA,MIA,1,16,2024-25
203999,1610612743,DEN,DEN,1,70,2024-25
1641732,1610612758,SAC,"SAC, WAS",2,24,2024-25
1641794,1610612760,OKC,OKC,1,54,2024-25
1630529,1610612740,NOP,NOP,1,20,2024-25
1642403,1610612758,SAC,SAC,1,40,2024-25
1630539,1610612746,LAC,"DAL, LAC",2,28,2024-25
1630222,1610612758,SAC,SAC,1,10,2024-25
1642461,1610612743,DEN,DEN,1,20,2024-25
1630200,1610612759,SAS,"CHI, SAS",2,28,2024-25
1626145,1610612756,PHX,PHX,1,81,2024-25
1627884,1610612746,LAC,LAC,1,77,2024-25
201599,1610612743,DEN,DEN,1,56,2024-25
202709,1610612753,ORL,ORL,1,50,2024-25
1631107,1610612748,MIA,MIA,1,46,2024-25
1630548,1610612762,UTA,UTA,1,64,2024-25
1642530,1610612763,MEM,MEM,1,22,2024-25
1630283,1610612742,DAL,"DAL, NOP",2,8,2024-25
1628379,1610612763,MEM,MEM,1,65,2024-25
1631117,1610612762,UTA,UTA,1,58,2024-25
1630557,1610612764,WAS,WAS,1,61,2024-25
1628467,1610612742,DAL,DAL,1,34,2024-25
1641752,1610612765,DET,DET,1,8,2024-25
1642261,1610612747,LAL,LAL,1,78,2024-25
1642278,1610612752,NYK,NYK,1,41,2024-25
1631132,1610612747,LAL,LAL,1,37,2024-25
1629723,1610612763,MEM,MEM,1,46,2024-25
1628436,1610612738,BOS,BOS,1,73,2024-25
1630249,1610612737,ATL,ATL,1,57,2024-25
1630228,1610612744,GSW,GSW,1,47,2024-25
1628398,1610612749,MIL,"MIL, WAS",2,33,2024-25
1631222,1610612763,MEM,"MEM, SAC",2,47,2024-25
203897,1610612741,CHI,"CHI, SAC",2,42,2024-25
1629111,1610612745,HOU,HOU,1,42,2024-25
1641796,1610612748,MIA,MIA,1,55,2024-25
1630639,1610612761,TOR,TOR,1,26,2024-25
1627747,1610612739,CLE,"ATL, CLE",2,38,2024-25
1627814,1610612756,PHX,PHX,1,25,2024-25
203458,1610612758,SAC,"LAL, SAC",2,36,2024-25
202695,1610612746,LAC,LAC,1,37,2024-25
1642502,1610612760,OKC,OKC,1,6,2024-25
1641721,1610612751,BKN,"BKN, LAL",2,21,2024-25
1630604,1610612741,CHI,CHI,1,12,2024-25
203081,1610612749,MIL,MIL,1,58,2024-25
1641726,1610612742,DAL,DAL,1,36,2024-25
1641753,1610612749,MIL,MIL,1,21,2024-25
1626172,1610612744,GSW,GSW,1,76,2024-25
201572,1610612749,MIL,MIL,1,80,2024-25
201567,1610612748,MIA,MIA,1,23,2024-25
