player_id,full_name,first_name,last_name
1642259,Alex Sarr,Alex,Sarr
1631204,Marcus Sasser,Marcus,Sasser
1631248,Baylor Scheierman,Baylor,Scheierman
203471,Dennis Schröder,Dennis,Schröder
1630578,Alperen Sengun,Alperen,Sengun
1641729,Brice Sensabaugh,Brice,Sensabaugh
1629012,Collin Sexton,Collin,Sexton
1629013,Landry Shamet,Landry,Shamet
1630545,Terrence Shannon Jr.,Terrence,Shannon Jr.
1630549,Day'Ron Sharpe,Day'Ron,Sharpe
1631101,Shaedon Sharpe,Shaedon,Sharpe
1642347,Jamal Shead,Jamal,Shead
1641767,Ben Sheppard,Ben,Sheppard
1642263,Reed Sheppard,Reed,Sheppard
1627783,Pascal Siakam,Pascal,Siakam
1627732,Ben Simmons,Ben,Simmons
1629014,Anfernee Simons,Anfernee,Simons
1642354,KJ Simpson,KJ,Simpson
1630579,Jericho Sims,Jericho,Sims
203935,Marcus Smart,Marcus,Smart
1630696,Dru Smith,Dru,Smith
1630188,Jalen Smith,Jalen,Smith
1641890,Tyler Smith,Tyler,Smith
1631095,Jabari Smith Jr.,Jabari,Smith Jr.
1641733,Nick Smith Jr.,Nick,Smith Jr.
1631110,Jeremy Sochan,Jeremy,Sochan
1642285,Cam Spencer,Cam,Spencer
1630311,Pat Spencer,Pat,Spencer
1630531,Jaden Springer,Jaden,Springer
1630191,Isaiah Stewart,Isaiah,Stewart
1631124,Julian Strawther,Julian,Strawther
1629622,Max Strus,Max,Strus
1630591,Jalen Suggs,Jalen,Suggs
1631306,Cole Swider,Cole,Swider
1630256,Jae'Sean Tate,Jae'Sean,Tate
1628369,Jayson Tatum,Jayson,Tatum
202066,Garrett Temple,Garrett,Temple
1631207,Dalen Terry,Dalen,Terry
1628464,Daniel Theis,Daniel,Theis
1630560,Cam Thomas,Cam,Thomas
1641708,Amen Thompson,Amen,Thompson
1641709,Ausar Thompson,Ausar,Thompson
202691,Klay Thompson,Klay,Thompson
202684,Tristan Thompson,Tristan,Thompson
1630550,JT Thor,JT,Thor
1630214,Xavier Tillman,Xavier,Tillman
1631210,Jacob Toppin,Jacob,Toppin
1630167,Obi Toppin,Obi,Toppin
1626157,Karl-Anthony Towns,Karl-Anthony,Towns
1642422,Armel Traoré,Armel,Traoré
1631247,Luke Travers,Luke,Travers
1629018,Gary Trent Jr.,Gary,Trent Jr.
1631131,Oscar Tshiebwe,Oscar,Tshiebwe
1626167,Myles Turner,Myles,Turner
1641816,Hunter Tyson,Hunter,Tyson
1642281,Jaylon Tyson,Jaylon,Tyson
1630649,Stanley Umude,Stanley,Umude
202685,Jonas Valančiūnas,Jonas,Valančiūnas
1627832,Fred VanVleet,Fred,VanVleet
1629020,Jarred Vanderbilt,Jarred,Vanderbilt
1630170,Devin Vassell,Devin,Vassell
1629216,Gabe Vincent,Gabe,Vincent
1641774,Tristan Vukcevic,Tristan,Vukcevic
202696,Nikola Vučević,Nikola,Vučević
1629731,Dean Wade,Dean,Wade
1630532,Franz Wagner,Franz,Wagner
1629021,Moritz Wagner,Moritz,Wagner
1631133,Jabari Walker,Jabari,Walker
1641716,Jarace Walker,Jarace,Walker
1641717,Cason Wallace,Cason,Wallace
1630811,Keaton Wallace,Keaton,Wallace
1641775,Jordan Walsh,Jordan,Walsh
1642266,Ja'Kobe Walter,Ja'Kobe,Walter
1642276,Kel'el Ware,Kel'el,Ware
1629023,P.J. Washington,P.J.,Washington
1631102,TyTy Washington Jr.,TyTy,Washington Jr.
1630322,Lindy Waters III,Lindy,Waters III
1630570,Trendon Watford,Trendon,Watford
1631212,Peyton Watson,Peyton,Watson
1642377,Jaylen Wells,Jaylen,Wells
1641705,Victor Wembanyama,Victor,Wembanyama
1631104,Blake Wesley,Blake,Wesley
201566,Russell Westbrook,Russell,Westbrook
1629632,Coby White,Coby,White
1628401,Derrick White,Derrick,White
1641727,Dariq Whitehead,Dariq,Whitehead
1641715,Cam Whitmore,Cam,Whitmore
1630598,Aaron Wiggins,Aaron,Wiggins
203952,Andrew Wiggins,Andrew,Wiggins
1631214,Alondes Williams,Alondes,Williams
1630314,Brandon Williams,Brandon,Williams
1642262,Cody Williams,Cody,Williams
1629684,Grant Williams,Grant,Williams
1631114,Jalen Williams,Jalen,Williams
1631119,Jaylin Williams,Jaylin,Williams
1629026,Kenrich Williams,Kenrich,Williams
1631109,Mark Williams,Mark,Williams
1630172,Patrick Williams,Patrick,Williams
1630533,Ziaire Williams,Ziaire,Williams
1629057,Robert Williams III,Robert,Williams III
1631246,Vince Williams Jr.,Vince,Williams Jr.
1629627,Zion Williamson,Zion,Williamson
1630592,Jalen Wilson,Jalen,Wilson
1630164,James Wiseman,James,Wiseman
1631209,Isaiah Wong,Isaiah,Wong
1626153,Delon Wright,Delon,Wright
1627824,Guerschon Yabusele,Guerschon,Yabusele
1629027,Trae Young,Trae,Young
1627826,Ivica Zubac,Ivica,Zubac
1641783,Tristan da Silva,Tristan,da Silva
1628427,Vlatko Čančar,Vlatko,Čančar
203967,Dario Šarić,Dario,Šarić
