Player_ID,full_name,first_name,last_name,Primary_Team_ID,Primary_Team,Primary_Team_Abbr,Games_With_Primary_Team,All_Teams,Num_Teams,Season_Games,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,AST_TOV_ratio
1628998,Cody Martin,Cody,Martin,1610612766,Charlotte Hornets,CHA,39,"CHA, PHX",2,53,22.132,2.566,6.132,0.39,0.811,2.849,0.246,0.811,1.151,0.34,1.0,3.226,4.226,1.981,1.057,0.604,0.962,1.792,6.755,2.059
1641798,Jaylen Martin,Jaylen,Martin,1610612764,Washington Wizards,WAS,13,"BKN, WAS",2,16,15.0,1.938,4.625,0.319,0.438,1.438,0.203,0.562,0.625,0.292,0.688,2.062,2.75,1.062,0.562,0.0,0.75,0.875,4.875,1.417
1630231,KJ Martin,KJ,Martin,1610612755,Philadelphia 76ers,PHI,24,"PHI, UTA",2,43,21.116,2.581,4.674,0.506,0.349,1.349,0.164,0.86,1.093,0.457,0.698,2.209,2.907,1.116,0.395,0.512,0.558,2.349,6.372,2.0
1631213,Tyrese Martin,Tyrese,Martin,1610612751,Brooklyn Nets,BKN,60,BKN,1,60,21.867,3.15,7.75,0.379,1.65,4.7,0.311,0.767,0.967,0.265,0.967,2.683,3.65,2.033,0.567,0.15,1.233,1.283,8.717,1.649
1629726,Garrison Mathews,Garrison,Mathews,1610612737,Atlanta Hawks,ATL,47,ATL,1,47,17.702,2.17,5.468,0.349,1.809,4.638,0.345,1.362,1.66,0.447,0.277,1.574,1.851,1.277,0.553,0.319,0.66,1.723,7.511,1.935
1631097,Bennedict Mathurin,Bennedict,Mathurin,1610612754,Indiana Pacers,IND,72,IND,1,72,29.861,5.431,11.847,0.457,1.361,4.0,0.342,3.833,4.611,0.739,1.208,4.111,5.319,1.889,0.653,0.333,1.875,2.25,16.056,1.007
1631255,Karlo Matković,Karlo,Matković,1610612740,New Orleans Pelicans,NOP,42,NOP,1,42,18.857,3.214,5.595,0.514,0.5,1.571,0.19,0.81,1.048,0.399,1.524,3.452,4.976,1.095,0.524,0.976,1.024,2.524,7.738,1.07
1630178,Tyrese Maxey,Tyrese,Maxey,1610612755,Philadelphia 76ers,PHI,52,PHI,1,52,37.75,9.173,20.981,0.427,3.096,9.192,0.326,4.885,5.558,0.87,0.288,3.058,3.346,6.096,1.75,0.404,2.385,2.231,26.327,2.556
1630540,Miles McBride,Miles,McBride,1610612752,New York Knicks,NYK,64,NYK,1,64,24.953,3.469,8.547,0.402,1.797,4.875,0.348,0.812,1.0,0.328,0.734,1.781,2.516,2.922,1.047,0.266,0.641,1.688,9.547,4.561
1642272,Jared McCain,Jared,McCain,1610612755,Philadelphia 76ers,PHI,23,PHI,1,23,25.826,5.478,11.913,0.441,2.217,5.783,0.328,2.13,2.435,0.525,0.565,1.87,2.435,2.609,0.652,0.0,1.609,1.609,15.304,1.622
1630644,Mac McClung,Mac,McClung,1610612753,Orlando Magic,ORL,2,ORL,1,2,5.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.5,0.0,0.0,0.0,1.0,0.0,1500.0
203468,CJ McCollum,CJ,McCollum,1610612740,New Orleans Pelicans,NOP,56,NOP,1,56,32.75,7.929,17.857,0.426,3.054,8.196,0.338,2.214,3.089,0.63,0.75,3.036,3.786,4.054,0.821,0.429,1.893,2.214,21.125,2.142
204456,T.J. McConnell,T.J.,McConnell,1610612754,Indiana Pacers,IND,79,IND,1,79,17.937,4.101,7.899,0.51,0.19,0.62,0.136,0.722,0.975,0.241,0.557,1.886,2.443,4.443,1.051,0.266,1.38,1.0,9.114,3.22
1630183,Jaden McDaniels,Jaden,McDaniels,1610612750,Minnesota Timberwolves,MIN,82,MIN,1,82,31.939,4.854,10.171,0.47,1.22,3.695,0.342,1.268,1.561,0.405,1.573,4.159,5.732,1.988,1.341,0.902,1.159,2.744,12.195,1.716
203926,Doug McDermott,Doug,McDermott,1610612758,Sacramento Kings,SAC,42,SAC,1,42,8.167,1.19,2.786,0.268,1.048,2.405,0.276,0.071,0.119,0.028,0.071,0.452,0.524,0.167,0.095,0.048,0.143,0.714,3.5,1.167
1631121,Bryce McGowens,Bryce,McGowens,1610612757,Portland Trail Blazers,POR,13,POR,1,13,2.385,0.308,1.077,0.154,0.0,0.308,0.0,0.385,0.462,0.231,0.154,0.077,0.231,0.154,0.077,0.0,0.308,0.231,1.0,0.5
1629162,Jordan McLaughlin,Jordan,McLaughlin,1610612758,Sacramento Kings,SAC,28,"SAC, SAS",2,46,6.848,0.674,1.565,0.275,0.413,1.0,0.223,0.37,0.478,0.174,0.13,0.522,0.652,1.109,0.348,0.022,0.348,0.391,2.13,3.188
