player_id,games_played,min_avg,fgm_avg,fga_avg,fg_pct,fg3m_avg,fg3a_avg,fg3_pct,ftm_avg,fta_avg,ft_pct,oreb_avg,dreb_avg,reb_avg,ast_avg,stl_avg,blk_avg,tov_avg,pf_avg,pts_avg,ast_tov_ratio,season
1631250,13,10.615,1.077,2.462,0.288,0.692,1.846,0.216,0.077,0.154,0.038,0.385,1.231,1.615,0.769,0.154,0.154,0.308,1.308,2.923,2.5,2024-25
1631255,42,18.857,3.214,5.595,0.514,0.5,1.571,0.19,0.81,1.048,0.399,1.524,3.452,4.976,1.095,0.524,0.976,1.024,2.524,7.738,1.07,2024-25
1631260,73,22.753,2.493,5.808,0.412,2.123,4.973,0.397,0.301,0.37,0.128,0.247,2.137,2.384,1.479,0.507,0.096,0.548,2.151,7.411,2.7,2024-25
1631288,37,13.568,1.838,4.27,0.323,0.703,2.162,0.246,0.919,1.351,0.286,0.73,1.568,2.297,0.595,0.622,0.243,0.595,1.243,5.297,1.0,2024-25
1631303,19,5.158,0.421,1.105,0.153,0.105,0.526,0.035,0.0,0.105,0.0,0.263,0.263,0.526,0.368,0.316,0.053,0.263,0.632,0.947,1.4,2024-25
1631306,10,17.0,2.2,6.3,0.308,1.5,4.7,0.284,0.0,0.1,0.0,0.5,2.2,2.7,0.3,0.4,0.2,0.4,1.2,5.9,0.75,2024-25
1631311,13,14.308,2.385,6.0,0.364,1.0,3.385,0.249,0.846,1.0,0.327,0.308,1.154,1.462,1.846,0.231,0.154,1.077,1.385,6.615,1.714,2024-25
1631321,22,5.182,0.591,1.364,0.218,0.136,0.591,0.091,0.136,0.409,0.091,0.364,0.591,0.955,0.682,0.091,0.045,0.5,0.455,1.455,1.364,2024-25
1631323,75,16.507,2.0,4.973,0.373,1.013,3.027,0.29,0.933,1.12,0.37,0.693,2.173,2.867,0.867,0.413,0.16,0.72,1.267,5.947,1.204,2024-25
1631342,6,11.667,2.667,4.167,0.41,1.5,2.833,0.294,0.333,0.333,0.167,0.667,1.167,1.833,0.333,0.0,0.0,0.667,1.667,7.167,0.5,2024-25
1631386,2,10.0,1.0,5.0,0.312,0.5,2.0,0.125,0.5,1.0,0.25,2.0,2.0,4.0,0.5,1.0,0.0,1.0,0.0,3.0,0.5,2024-25
1641705,46,33.174,8.87,18.63,0.467,3.087,8.761,0.339,3.435,4.109,0.741,1.783,9.217,11.0,3.652,1.13,3.826,3.239,2.283,24.261,1.128,2024-25
1641706,27,34.259,7.333,18.185,0.407,3.852,10.852,0.359,2.519,2.926,0.716,0.926,3.926,4.852,3.63,1.074,0.741,2.815,2.741,21.037,1.289,2024-25
1641707,3,25.0,1.333,6.0,0.19,1.0,4.0,0.2,1.0,1.333,0.5,1.667,3.333,5.0,0.667,1.667,1.333,0.667,2.667,4.667,1.0,2024-25
1641708,69,32.232,5.623,10.101,0.55,0.362,1.319,0.153,2.449,3.58,0.594,2.783,5.391,8.174,3.841,1.406,1.29,2.0,2.42,14.058,1.92,2024-25
1641709,59,22.525,4.169,7.797,0.53,0.186,0.831,0.116,1.542,2.407,0.48,1.881,3.254,5.136,2.271,1.661,0.678,1.356,2.78,10.068,1.675,2024-25
1641710,78,24.128,3.359,7.949,0.407,0.795,2.5,0.256,1.923,2.526,0.563,0.667,2.282,2.949,3.077,1.103,0.615,1.782,2.128,9.436,1.727,2024-25
1641711,54,29.463,4.907,11.981,0.4,2.111,6.037,0.347,2.463,2.87,0.674,0.815,2.759,3.574,1.815,0.889,0.185,1.537,2.222,14.389,1.181,2024-25
1641712,52,8.846,1.115,2.731,0.235,0.308,1.135,0.134,0.442,0.577,0.174,0.5,0.846,1.346,0.481,0.308,0.077,0.577,0.712,2.981,0.833,2024-25
1641713,29,15.828,2.552,6.862,0.357,1.103,3.276,0.318,1.0,1.379,0.343,0.931,2.241,3.172,1.0,0.414,0.172,1.069,1.034,7.207,0.935,2024-25
1641715,51,16.255,3.51,7.902,0.399,1.275,3.588,0.295,1.059,1.412,0.394,0.706,2.255,2.961,0.961,0.608,0.255,0.902,0.863,9.353,1.065,2024-25
1641716,75,15.867,2.267,4.8,0.448,1.0,2.467,0.303,0.613,0.92,0.246,0.333,2.72,3.053,1.467,0.72,0.333,1.04,1.533,6.147,1.41,2024-25
1641717,68,27.603,3.412,7.191,0.467,1.088,3.059,0.361,0.441,0.544,0.221,1.044,2.324,3.368,2.544,1.765,0.515,0.868,2.132,8.353,2.932,2024-25
1641718,67,31.433,5.358,13.716,0.391,2.597,7.567,0.328,3.478,4.254,0.685,0.388,3.388,3.776,5.627,0.687,0.134,2.731,1.657,16.791,2.06,2024-25
1641720,15,20.933,2.467,6.533,0.361,0.933,3.067,0.226,1.2,1.4,0.45,0.2,1.6,1.8,2.467,0.333,0.467,1.2,1.667,7.067,2.056,2024-25
1641721,28,11.679,1.607,3.857,0.283,0.679,1.786,0.267,0.25,0.357,0.125,0.643,1.321,1.964,0.679,0.321,0.25,0.5,1.036,4.143,1.357,2024-25
1641722,56,23.625,3.696,9.929,0.343,1.964,5.929,0.312,1.429,1.75,0.478,0.446,2.375,2.821,1.179,0.536,0.411,1.036,0.911,10.786,1.138,2024-25
1641723,10,12.3,1.8,4.7,0.416,0.4,1.9,0.145,1.3,1.8,0.45,0.5,1.6,2.1,1.7,0.3,0.2,0.8,0.9,5.3,2.125,2024-25
1641724,60,11.65,1.633,4.367,0.332,0.917,3.1,0.245,0.267,0.383,0.104,0.333,0.833,1.167,0.733,0.217,0.183,0.6,1.133,4.45,1.222,2024-25
1641725,24,4.833,0.542,1.708,0.209,0.125,0.708,0.049,0.125,0.167,0.062,0.042,0.458,0.5,0.458,0.083,0.042,0.208,0.417,1.333,2.2,2024-25
1641726,36,23.056,3.722,5.306,0.714,0.0,0.0,0.0,1.278,2.028,0.41,2.889,4.611,7.5,2.361,0.556,1.556,1.139,2.778,8.722,2.073,2024-25
1641727,20,12.3,1.95,4.8,0.271,1.65,3.7,0.289,0.15,0.25,0.067,0.2,1.25,1.45,0.6,0.3,0.05,0.75,1.1,5.7,0.8,2024-25
1641729,71,20.211,3.873,8.437,0.432,2.211,5.239,0.363,0.915,1.028,0.382,0.592,2.366,2.958,1.549,0.648,0.113,1.507,1.563,10.873,1.028,2024-25
